type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),eos,name,desc
T,2022-01-21 08:34:13,48.287287784,8.851427924,515.4,38.7,2.4,1.437,10.76,,,
T,2022-01-21 08:34:14,48.287378504,8.851411117,515.7,36.6,2.9,1.447,10.16,,,
T,2022-01-21 08:34:15,48.287462582,8.851396721,516.0,33.9,3.6,1.456,9.41,,,
T,2022-01-21 08:34:16,48.287537504,8.851384896,516.4,30.2,4.4,1.465,8.38,,,
T,2022-01-21 08:34:17,48.287605847,8.851371851,516.7,27.6,4.7,1.472,7.66,,,
T,2022-01-21 08:34:18,48.287670926,8.851356706,517.1,26.4,4.5,1.480,7.32,,,
T,2022-01-21 08:34:19,48.287729494,8.851333801,517.3,24.2,4.3,1.486,6.73,,,
T,2022-01-21 08:34:20,48.287782509,8.851313408,517.6,21.9,4.3,1.492,6.09,,,
T,2022-01-21 08:34:21,48.287831701,8.851312229,517.8,19.7,4.3,1.498,5.47,,,
T,2022-01-21 08:34:22,48.287906849,8.851319402,518.1,30.1,2.9,1.506,8.37,,,
T,2022-01-21 08:34:23,48.287908667,8.851386876,518.3,18.0,5.1,1.511,5.01,,,
T,2022-01-21 08:34:24,48.287926948,8.851456356,518.6,20.0,4.6,1.517,5.54,,,
T,2022-01-21 08:34:25,48.287946412,8.851531426,518.9,21.5,4.4,1.523,5.98,,,
T,2022-01-21 08:34:26,48.287975843,8.851608260,519.1,23.7,4.1,1.529,6.57,,,
T,2022-01-21 08:34:27,48.287997044,8.851693532,519.4,24.3,4.0,1.536,6.75,,,
T,2022-01-21 08:34:28,48.287996873,8.851787877,519.7,25.2,3.7,1.543,7.00,,,
T,2022-01-21 08:34:29,48.288010660,8.851876420,519.9,24.3,3.4,1.550,6.75,,,
T,2022-01-21 08:34:30,48.288050252,8.851962856,520.1,28.0,2.7,1.558,7.78,,,
T,2022-01-21 08:34:31,48.288061289,8.852056231,520.3,25.3,2.8,1.565,7.04,,,
T,2022-01-21 08:34:32,48.288085456,8.852140578,520.5,24.5,3.6,1.571,6.81,,,
T,2022-01-21 08:34:33,48.288118127,8.852229261,520.8,27.1,3.8,1.579,7.52,,,
T,2022-01-21 08:34:34,48.288151421,8.852311779,521.1,25.8,4.4,1.586,7.16,,,
T,2022-01-21 08:34:35,48.288199291,8.852382939,521.5,27.0,4.6,1.594,7.50,,,
T,2022-01-21 08:34:36,48.288232110,8.852466826,521.9,26.0,5.2,1.601,7.22,,,
T,2022-01-21 08:34:37,48.288266633,8.852548966,522.3,25.9,5.6,1.608,7.20,,,
T,2022-01-21 08:34:38,48.288302939,8.852630914,522.7,26.3,5.3,1.615,7.30,,,
T,2022-01-21 08:34:39,48.288330680,8.852723548,523.0,27.1,4.6,1.623,7.53,,,
T,2022-01-21 08:34:40,48.288372776,8.852809208,523.3,28.4,4.1,1.631,7.89,,,
T,2022-01-21 08:34:41,48.288424291,8.852870094,523.6,26.3,4.4,1.638,7.30,,,
T,2022-01-21 08:34:42,48.288479069,8.852935737,524.0,28.1,4.5,1.646,7.80,,,
T,2022-01-21 08:34:43,48.288536942,8.852997588,524.4,28.5,4.7,1.654,7.90,,,
T,2022-01-21 08:34:44,48.288594204,8.853060570,524.7,28.4,4.7,1.662,7.90,,,
T,2022-01-21 08:34:45,48.288650567,8.853124571,525.1,28.3,4.4,1.670,7.86,,,
T,2022-01-21 08:34:46,48.288707652,8.853190891,525.4,28.9,3.9,1.678,8.03,,,
T,2022-01-21 08:34:47,48.288769368,8.853265576,525.7,31.8,3.1,1.686,8.82,,,
T,2022-01-21 08:34:48,48.288830655,8.853339741,525.9,31.5,2.8,1.695,8.76,,,
T,2022-01-21 08:34:49,48.288889151,8.853410528,526.1,30.1,2.6,1.704,8.36,,,
T,2022-01-21 08:34:50,48.288948364,8.853479146,526.3,30.0,2.1,1.712,8.32,,,
T,2022-01-21 08:34:51,48.289004037,8.853545600,526.4,28.5,1.3,1.720,7.91,,,
T,2022-01-21 08:34:52,48.289054625,8.853605604,526.5,25.8,0.5,1.727,7.17,,,
T,2022-01-21 08:34:53,48.289098623,8.853658830,526.4,22.6,-0.4,1.733,6.29,,,
T,2022-01-21 08:34:54,48.289136853,8.853731659,526.4,24.8,-0.8,1.740,6.88,,,
T,2022-01-21 08:34:55,48.289173557,8.853805845,526.3,24.7,-0.7,1.747,6.85,,,
T,2022-01-21 08:34:56,48.289210420,8.853875253,526.3,23.7,-0.7,1.754,6.58,,,
T,2022-01-21 08:34:57,48.289249757,8.853943558,526.2,24.1,-0.6,1.760,6.70,,,
T,2022-01-21 08:34:58,48.289283287,8.854018852,526.2,24.2,-0.5,1.767,6.72,,,
T,2022-01-21 08:34:59,48.289326033,8.854080491,526.2,23.7,-0.5,1.774,6.60,,,
T,2022-01-21 08:35:00,48.289368005,8.854137400,526.1,22.7,-0.5,1.780,6.29,,,
T,2022-01-21 08:35:01,48.289410969,8.854207701,526.1,25.5,-0.4,1.787,7.07,,,
T,2022-01-21 08:35:02,48.289462034,8.854230942,526.1,21.4,-0.5,1.793,5.93,,,
T,2022-01-21 08:35:03,48.289502731,8.854249463,526.1,17.0,-0.9,1.798,4.73,,,
T,2022-01-21 08:35:04,48.289531814,8.854262699,526.0,12.2,-1.3,1.801,3.38,,,
T,2022-01-21 08:35:05,48.289556105,8.854273754,526.0,10.2,-1.6,1.804,2.82,,,
T,2022-01-21 08:35:06,48.289579231,8.854284279,525.9,9.7,-1.3,1.806,2.69,,,
T,2022-01-21 08:35:07,48.289612693,8.854281196,525.9,13.4,-0.7,1.810,3.73,,,
T,2022-01-21 08:35:09,48.289637964,8.854282779,525.9,5.1,-1.4,1.813,2.81,1,,
T,2022-01-21 08:36:09,48.289662814,8.854284335,525.7,,,1.816,2.77,,,
T,2022-01-21 08:36:11,48.289690180,8.854286049,525.7,5.5,1.1,1.819,3.05,,,
T,2022-01-21 08:36:12,48.289716032,8.854287668,525.7,10.4,0.7,1.822,2.88,,,
